title,runtime,budget,original_language,Year,Month,Genre
So I Married an Axe Murderer,93.0,20000000,en,1993,07,Comedy Crime Romance 
Striking Distance,102.0,30,en,1993,09,Crime Action Mystery Thriller 
Super Mario Bros.,104.0,48000000,en,1993,05,Adventure Comedy Family Fantasy 
Surviving the Game,96.0,7400000,en,1994,04,Action Adventure Thriller Crime 
Terminal Velocity,102.0,50000000,en,1994,09,Action Thriller 
The Nightmare Before Christmas,76.0,18000000,en,1993,10,Fantasy Animation Family 
The Three Musketeers,105.0,30000000,en,1993,11,Action Adventure Comedy 
Tombstone,130.0,25000000,en,1993,12,Action Adventure Drama History Western 
True Romance,120.0,12500000,en,1993,09,Action Thriller Crime Romance 
The Pagemaster,80.0,27000000,en,1994,11,Fantasy Science Fiction Family Animation 
Spanking the Monkey,106.0,200000,en,1994,01,Comedy Drama 
Home Alone,103.0,18000000,en,1990,11,Comedy Family 
Ghost,127.0,22000000,en,1990,07,Fantasy Drama Thriller Mystery Romance 
Aladdin,90.0,28000000,en,1992,11,Animation Family Comedy Adventure Fantasy Romance 
Terminator 2: Judgment Day,137.0,100000000,en,1991,07,Action Thriller Science Fiction 
Dances with Wolves,181.0,22000000,en,1990,11,Adventure Drama Western 
Batman,126.0,35000000,en,1989,06,Fantasy Action 
The Silence of the Lambs,119.0,19000000,en,1991,02,Crime Drama Thriller 
Snow White and the Seven Dwarfs,83.0,1488423,en,1937,12,Fantasy Animation Family 
Beauty and the Beast,84.0,25000000,en,1991,11,Romance Family Animation Fantasy Music 
Pinocchio,88.0,2600000,en,1940,02,Animation Family 
Pretty Woman,119.0,14000000,en,1990,03,Romance Comedy 
The Wild Bunch,145.0,6244087,en,1969,06,Adventure Western 
Fargo,98.0,7000000,en,1996,04,Crime Drama Thriller 
Heavy Metal,90.0,9300000,en,1981,08,Animation Science Fiction 
Hellraiser: Bloodline,86.0,4000000,en,1996,03,Horror Thriller Science Fiction 
The Pallbearer,97.0,8000000,en,1996,05,Comedy Romance 
Loaded,91.0,500000,en,1996,04,Drama Mystery Thriller 
The Aristocats,78.0,4000000,en,1970,12,Animation Comedy Family Adventure 
Primal Fear,129.0,30000000,en,1996,04,Crime Drama Mystery Thriller 
Theodore Rex,92.0,33500000,en,1995,12,Fantasy Science Fiction Family 
Girl 6,108.0,12000000,en,1996,03,Comedy 
Courage Under Fire,117.0,46000000,en,1996,07,Drama Thriller Mystery War 
Mission: Impossible,110.0,80000000,en,1996,05,Adventure Action Thriller 
DragonHeart,103.0,57000000,en,1996,05,Fantasy 
James and the Giant Peach,79.0,38000000,en,1996,04,Adventure Animation Family 
Faithful,91.0,13000000,en,1996,04,Comedy Crime Drama 
Underground,170.0,14000000,sr,1995,04,War Drama Comedy 
Space Jam,88.0,80000000,en,1996,11,Animation Comedy Drama Family Fantasy 
Barbarella,98.0,9000000,en,1968,10,Science Fiction 
Alphaville,100.0,220000,fr,1965,05,Drama Science Fiction Mystery 
Mrs. Winterbourne,105.0,25000000,en,1996,04,Comedy Romance Drama 
Faces,130.0,275000,en,1968,11,Drama 
The Quest,95.0,30000000,en,1996,04,Action Adventure 
Oliver & Company,74.0,31000000,en,1988,11,Animation Comedy Family 
Flipper,95.0,25530000,en,1996,05,Adventure Family 
Dead Man,121.0,9000000,en,1995,12,Drama Fantasy Western 
The Horseman on the Roof,135.0,35000000,en,1995,09,War Adventure Drama Romance 
Multiplicity,117.0,45000000,en,1996,07,Comedy Fantasy Science Fiction 
The Craft,101.0,15000000,en,1996,05,Drama Fantasy Horror Thriller 
Heaven's Prisoners,132.0,25000000,en,1996,05,Drama Mystery Thriller 
Original Gangstas,99.0,4800000,en,1996,05,Action Drama Crime Thriller 
The Rock,136.0,75000000,en,1996,06,Action Adventure Thriller 
Cemetery Man,105.0,4000000,it,1994,03,Fantasy Drama Horror Comedy 
Twister,113.0,92000000,en,1996,05,Action Adventure Drama 
Spy Hard,81.0,18000000,en,1996,05,Action Comedy 
The Arrival,115.0,25000000,en,1996,05,Action Mystery Science Fiction Thriller 
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1800000,en,1964,01,Drama Comedy War 
The Phantom,100.0,45000000,en,1996,06,Adventure Action 
Striptease,115.0,50000000,en,1996,06,Drama Thriller Crime 
Jack,113.0,45000000,en,1996,08,Comedy Drama Science Fiction 
Pharaoh's  Army,90.0,50,en,1995,01,Western Drama War 
Trainspotting,93.0,4000000,en,1996,02,Drama Crime 
Til There Was You,113.0,1000000,en,1997,05,Comedy Romance 
Independence Day,145.0,75000000,en,1996,06,Action Adventure Science Fiction 
The Fan,116.0,55000000,en,1996,08,Drama Mystery Thriller 
The Hunchback of Notre Dame,91.0,100000000,en,1996,06,Drama Animation Family 
The Cable Guy,96.0,47000000,en,1996,06,Comedy Drama Thriller 
Kingpin,113.0,27000000,en,1996,07,Comedy 
Eraser,115.0,100000000,en,1996,06,Action Drama Mystery Thriller 
The Nutty Professor,95.0,54000000,en,1996,06,Fantasy Comedy Romance Science Fiction 
