Name,Year of release,Rating,Genre,votes
The Last Emperor,1987.0,7.7,Biography Drama History            ,"90,616"
Midnight Express,1978.0,7.6,Biography Crime Drama            ,"70,718"
In the Name of the Father,1993.0,8.1,Biography Drama            ,"150,543"
Cleopatra,1963.0,7.0,Biography Drama History            ,"28,288"
Awakenings,1990.0,7.8,Biography Drama            ,"119,079"
Double Indemnity,1944.0,8.3,Crime Drama Film-Noir            ,"137,513"
High Noon,1952.0,7.9,Drama Thriller Western            ,"94,669"
Doctor Zhivago,1965.0,8.0,Drama Romance War            ,"67,558"
Moonstruck,1987.0,7.1,Comedy Drama Romance            ,"47,423"
Dangerous Liaisons,1988.0,7.6,Drama Romance            ,"62,591"
The Insider,1999.0,7.8,Biography Drama Thriller            ,"155,704"
Field of Dreams,1989.0,7.5,Drama Family Fantasy            ,"104,612"
All the President's Men,1976.0,8.0,Biography Drama History            ,"98,510"
My Fair Lady,1964.0,7.8,Drama Family Musical            ,"83,868"
Winter's Bone,2010.0,7.2,Drama Mystery            ,"132,537"
Gandhi,1982.0,8.0,Biography Drama History            ,"213,764"
Kramer vs. Kramer,1979.0,7.8,Drama            ,"127,395"
From Here to Eternity,1953.0,7.6,Drama Romance War            ,"41,780"
Mississippi Burning,1988.0,7.8,Crime Drama History            ,"84,024"
All About Eve,1950.0,8.2,Drama            ,"116,118"
Finding Neverland,2004.0,7.7,Biography Drama Family            ,"195,312"
Romeo and Juliet,1968.0,7.6,Drama Romance            ,"28,613"
Rebecca,1940.0,8.1,Drama Mystery Romance            ,"117,685"
Shane,1953.0,7.6,Drama Western            ,"35,706"
The Cider House Rules,1999.0,7.4,Drama Romance            ,"91,138"
Capote,2005.0,7.3,Biography Crime Drama            ,"122,215"
The Hustler,1961.0,8.0,Drama Sport            ,"73,374"
Witness for the Prosecution,1957.0,8.4,Crime Drama Mystery            ,"102,229"
Patton,1970.0,7.9,Biography Drama War            ,"91,647"
Fences,2016.0,7.2,Drama            ,"94,026"
It Happened One Night,1934.0,8.1,Comedy Romance            ,"90,046"
The Big Chill,1983.0,7.2,Comedy Drama            ,"31,721"
The Great Dictator,1940.0,8.4,Comedy Drama War            ,"194,473"
All That Jazz,1979.0,7.9,Drama Music Musical            ,"26,648"
Letters from Iwo Jima,2006.0,7.9,Action Adventure Drama            ,"151,064"
Giant,1956.0,7.6,Drama Western            ,"32,857"
The Towering Inferno,1974.0,7.0,Action Drama Thriller            ,"37,812"
Fiddler on the Roof,1971.0,8.0,Drama Family Musical            ,"37,606"
Cabaret,1972.0,7.8,Drama Musical            ,"46,534"
My Left Foot: The Story of Christy Brown,1989.0,7.9,Biography Drama            ,"65,269"
Milk,2008.0,7.5,Biography Drama            ,"161,279"
An Education,2009.0,7.3,Drama            ,"126,113"
The Magnificent Ambersons,1942.0,7.7,Drama Romance            ,"21,485"
Breaking Away,1979.0,7.7,Comedy Drama Romance            ,"21,028"
The Maltese Falcon,1941.0,8.0,Film-Noir Mystery            ,"145,534"
Ray,2004.0,7.7,Biography Drama Music            ,"134,639"
Chariots of Fire,1981.0,7.2,Biography Drama Sport            ,"52,489"
Working Girl,1988.0,6.8,Comedy Drama Romance            ,"50,030"
The Kids Are All Right,2010.0,7.0,Comedy Drama Romance            ,"123,643"
Anatomy of a Murder,1959.0,8.0,Crime Drama Mystery            ,"57,432"
The Full Monty,1997.0,7.2,Comedy Drama            ,"96,569"
The Quiet Man,1952.0,7.7,Comedy Drama Romance            ,"33,495"
Selma,2014.0,7.5,Biography Drama History            ,"81,804"
Amour,2012.0,7.9,Drama Romance            ,"90,153"
The Mission,1986.0,7.4,Adventure Drama History            ,"53,996"
Five Easy Pieces,1970.0,7.5,Drama            ,"32,023"
Driving Miss Daisy,1989.0,7.4,Drama            ,"95,627"
Love Story,1970.0,6.9,Drama Romance            ,"29,099"
The Treasure of the Sierra Madre,1948.0,8.2,Adventure Drama Western            ,"109,908"
How the West Was Won,1962.0,7.1,Western            ,"17,926"
Nebraska,2013.0,7.7,Adventure Comedy Drama            ,"109,698"
Heaven Can Wait,1978.0,6.9,Comedy Fantasy Romance            ,"17,833"
Top Hat,1935.0,7.7,Comedy Musical Romance            ,"16,722"
The Robe,1953.0,6.7,Drama History            ,"8,988"
The Alamo,1960.0,6.9,Adventure Drama History            ,"13,915"
The Killing Fields,1984.0,7.8,Biography Drama History            ,"49,846"
All Quiet on the Western Front,1930.0,8.0,Drama War            ,"55,802"
The Lion in Winter,1968.0,7.9,Biography Drama History            ,"28,167"
Coal Miner's Daughter,1980.0,7.5,Biography Drama Music            ,"16,072"
Guess Who's Coming to Dinner,1967.0,7.8,Comedy Drama            ,"37,697"
Nashville,1975.0,7.7,Comedy Drama Music            ,"22,708"
Howards End,1992.0,7.4,Drama Romance            ,"27,628"
The Queen,2006.0,7.3,Biography Drama History            ,"101,464"
On Golden Pond,1981.0,7.6,Drama            ,"26,698"
Airport,1970.0,6.6,Action Drama Thriller            ,"16,844"
Judgment at Nuremberg,1961.0,8.2,Drama War            ,"66,300"
In the Bedroom,2001.0,7.4,Crime Drama            ,"36,565"
Stagecoach,1939.0,7.9,Adventure Drama Western            ,"41,375"
The Philadelphia Story,1940.0,7.9,Comedy Romance            ,"61,326"
The Guns of Navarone,1961.0,7.5,Action Adventure Drama            ,"44,085"
The Red Shoes,1948.0,8.1,Drama Music Romance            ,"29,290"
Bugsy,1991.0,6.8,Biography Crime Drama            ,"25,221"
Seven Brides for Seven Brothers,1954.0,7.4,Comedy Drama Musical            ,"20,598"
The Adventures of Robin Hood,1938.0,7.9,Action Adventure Romance            ,"45,774"
Around the World in 80 Days,1956.0,6.8,Adventure Comedy Family            ,"23,684"
Tess,1979.0,7.3,Drama Romance            ,"14,587"
Cat on a Hot Tin Roof,1958.0,8.0,Drama            ,"43,270"
Who's Afraid of Virginia Woolf?,1966.0,8.0,Drama            ,"67,032"
Gaslight,1944.0,7.8,Crime Drama Film-Noir            ,"23,054"
Oliver!,1968.0,7.4,Drama Family Musical            ,"33,419"
Hannah and Her Sisters,1986.0,7.9,Comedy Drama            ,"64,953"
Frost/Nixon,2008.0,7.7,Biography Drama History            ,"100,180"
The Grapes of Wrath,1940.0,8.0,Drama History            ,"84,015"
A Man for All Seasons,1966.0,7.7,Biography Drama History            ,"30,102"
The Verdict,1982.0,7.7,Drama            ,"34,397"
Sayonara,1957.0,7.1,Drama Romance            ,"5,882"
Philomena,2013.0,7.6,Biography Comedy Drama            ,"91,955"
