title,runtime,budget,Year,is_Nominated,Won,Animation,Comedy,Family,Adventure,Fantasy,Drama,Romance,Action,Crime,Thriller,History,Science,Fiction,Mystery,Horror,War,Foreign,Western,Documentary,Music,Biography,Sci-Fi,Film-Noir,Musical,Sport,month,Runtime,country,Metascore,imdbRating
Friendly Persuasion,0,3000000,1956,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Mr. Deeds Goes to Town,0,864000,1936,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Lilies of the Field,0,247000,1963,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Since You Went Away,0,3260000,1944,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Utvandrarna,0,1600000,1971,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
The Great Ziegfeld,0,2180000,1936,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0,,0,0.0
Love Is a Many-Splendored Thing,0,1780000,1955,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0.0
Going My Way,0,1300000,1944,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,0.0
Room at the Top,0,50000,1959,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
The Awful Truth,0,600000,1937,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
49th Parallel,0,20000,1941,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Random Harvest,0,2000000,1942,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Ivanhoe,0,3840000,1952,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Father of the Bride,0,20000000,1950,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Anchors Aweigh,0,2580000,1945,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,0.0
Bound for Glory,0,10000000,1976,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,,0,0.0
Dark Victory,0,1000000,1939,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
Pygmalion,0,10000,1938,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.0
