Drama,History,Horror,Metascore,Action,Musical,War,Thriller,Romance,Runtime,imdbRating,Documentary,Science,Fiction,France,Won
0,0,0,0.5385858585858587,0,0,0,1,0,0.1693121693121693,0.39743589743589736,0,0,0,0,0
1,0,1,0.6161616161616162,0,0,0,1,0,0.22222222222222215,0.6282051282051282,0,0,0,0,0
0,0,0,0.8181818181818183,0,0,0,0,0,0.32275132275132273,0.7307692307692307,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,1,0.23280423280423285,0.41025641025641024,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,1,0,0.20634920634920634,0.7564102564102564,0,0,0,0,0
1,0,0,0.35353535353535354,1,0,0,1,0,0.32275132275132273,0.5384615384615384,0,0,0,0,0
0,0,0,0.7373737373737375,0,0,0,0,0,0.24867724867724866,0.5769230769230769,0,0,0,0,0
1,0,0,0.6464646464646465,1,0,0,1,1,0.28571428571428564,0.6282051282051282,0,0,0,0,0
0,0,0,0.2828282828282828,0,0,0,0,0,0.23280423280423285,0.5256410256410255,0,0,0,0,0
0,0,0,0.595959595959596,0,0,0,1,0,0.3597883597883598,0.7051282051282051,0,1,1,0,0
1,0,0,0.6565656565656567,0,0,0,0,1,0.23280423280423285,0.6666666666666666,0,0,0,1,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.164021164021164,0.7179487179487178,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.5925925925925926,0.7692307692307692,0,0,0,0,0
1,0,0,0.5385858585858587,1,0,0,1,0,0.3174603174603175,0.6794871794871794,0,0,0,0,0
1,0,0,0.5385858585858587,1,0,0,1,0,0.22222222222222215,0.28205128205128205,0,1,1,0,0
1,0,0,0.9090909090909092,0,0,0,0,1,0.4338624338624338,0.8205128205128205,0,0,0,0,0
1,0,0,0.7272727272727274,0,0,0,0,0,0.28571428571428564,0.7564102564102564,0,0,0,0,0
1,0,0,0.585858585858586,1,0,1,0,0,0.4232804232804233,0.7564102564102564,0,0,0,0,0
1,0,1,0.6262626262626264,0,0,0,0,0,0.17989417989417988,0.6666666666666666,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,1,0.25925925925925924,0.7307692307692307,0,0,0,0,0
1,0,0,0.48484848484848486,0,0,0,1,0,0.3968253968253968,0.6025641025641025,0,0,0,0,0
0,0,1,0.41414141414141414,1,0,0,0,0,0.2751322751322752,0.5641025641025641,0,0,0,0,0
0,0,0,0.494949494949495,0,0,0,0,1,0.291005291005291,0.6025641025641025,0,0,0,0,0
0,0,0,0.4444444444444445,1,0,0,0,0,0.253968253968254,0.6666666666666666,0,1,1,0,0
0,0,0,0.5454545454545455,1,0,0,1,0,0.3597883597883598,0.6794871794871794,0,0,0,0,0
0,0,1,0.8080808080808082,0,0,0,0,0,0.14814814814814814,0.641025641025641,0,0,0,0,0
0,0,1,0.5385858585858587,0,0,0,0,0,0.24338624338624332,0.4358974358974359,0,1,1,0,0
1,1,0,0.8181818181818183,0,0,0,0,0,0.22222222222222215,0.7820512820512819,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,0,0.291005291005291,0.6282051282051282,0,0,0,1,0
0,0,1,0.23232323232323232,0,0,0,1,0,0.1693121693121693,0.46153846153846145,0,0,0,0,0
0,0,0,0.4444444444444445,0,0,0,0,0,0.19576719576719576,0.6282051282051282,0,0,0,0,0
1,0,0,0.7373737373737375,0,0,0,0,0,0.3862433862433862,0.8333333333333333,0,0,0,1,0
0,0,1,0.5656565656565657,0,0,0,0,0,0.24867724867724866,0.6025641025641025,0,0,0,0,0
1,0,0,0.5385858585858587,1,0,0,1,0,0.21693121693121692,0.3846153846153846,0,0,0,0,0
